date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2023-05-01 00:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,5,8,9,8,17,44,79,0.0,1021,9,10,112,8,amersfoort
2023-05-01 01:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,5,7,8,7,16,42,83,0.0,1021,8,10,114,8,amersfoort
2023-05-01 02:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,6,6,8,6,16,34,87,0.0,1020,8,10,117,8,amersfoort
2023-05-01 03:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,5,6,8,6,14,34,86,0.0,1020,8,10,111,7,amersfoort
2023-05-01 04:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,5,6,8,6,16,28,84,0.0,1019,8,10,100,8,amersfoort
2023-05-01 05:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,5,6,7,6,15,22,83,0.0,1019,7,10,98,7,amersfoort
2023-05-01 06:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,5,7,8,7,13,29,81,0.0,1019,8,10,95,6,amersfoort
2023-05-01 07:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,6,10,10,10,8,28,76,0.0,1019,10,10,93,5,amersfoort
2023-05-01 08:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,6,12,12,12,6,44,68,0.0,1019,12,10,96,4,amersfoort
2023-05-01 09:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,7,15,14,15,5,35,61,0.0,1019,14,10,102,4,amersfoort
2023-05-01 10:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,7,16,16,16,1,33,53,0.0,1018,16,10,61,1,amersfoort
2023-05-01 11:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,6,17,17,17,8,47,48,0.0,1018,17,10,317,6,amersfoort
2023-05-01 12:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,6,17,17,17,12,71,47,0.0,1018,17,10,323,10,amersfoort
2023-05-01 13:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,6,17,17,17,15,63,50,0.0,1018,17,10,327,12,amersfoort
2023-05-01 14:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,6,17,17,17,12,59,49,0.0,1018,17,10,325,10,amersfoort
2023-05-01 15:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,6,17,17,17,13,57,48,0.0,1018,17,10,320,11,amersfoort
2023-05-01 16:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,8,17,17,17,14,85,55,0.0,1018,17,10,321,11,amersfoort
2023-05-01 17:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,7,16,16,16,15,86,55,0.0,1018,16,10,321,12,amersfoort
2023-05-01 18:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,8,16,16,16,16,65,60,0.0,1019,16,10,323,12,amersfoort
2023-05-01 19:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,8,13,14,13,15,46,70,0.0,1019,14,10,325,10,amersfoort
2023-05-01 20:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,8,10,11,10,18,100,79,0.0,1020,11,10,318,10,amersfoort
2023-05-01 21:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,8,11,11,11,12,100,81,0.0,1020,11,10,305,8,amersfoort
2023-05-01 22:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,9,10,11,10,14,76,87,0.1,1021,11,10,305,9,amersfoort
2023-05-01 23:00:00,17,7,0.0,13.3,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,9,8,10,8,15,46,95,0.0,1021,10,2,309,9,amersfoort
2023-05-02 00:00:00,10,4,0.0,12.8,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,8,7,9,7,19,35,94,0.0,1018,9,2,287,10,amersfoort
2023-05-02 01:00:00,10,4,0.0,12.8,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,8,7,9,7,24,59,94,0.0,1018,9,10,302,15,amersfoort
2023-05-02 02:00:00,10,4,0.0,12.8,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,6,6,8,6,27,35,87,0.0,1019,8,10,300,19,amersfoort
2023-05-02 03:00:00,10,4,0.0,12.8,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,6,5,8,5,29,91,84,0.0,1019,8,10,307,21,amersfoort
2023-05-02 04:00:00,10,4,0.0,12.8,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,5,5,8,5,32,90,77,0.0,1020,8,10,327,23,amersfoort
2023-05-02 05:00:00,10,4,0.0,12.8,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,3,5,8,5,30,87,71,0.0,1021,8,10,330,21,amersfoort
2023-05-02 06:00:00,10,4,0.0,12.8,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,3,5,8,5,30,90,68,0.0,1022,8,10,337,21,amersfoort
2023-05-02 07:00:00,10,4,0.0,12.8,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,2,4,7,4,27,93,66,0.0,1023,7,10,337,19,amersfoort
2023-05-02 08:00:00,10,4,0.0,12.8,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,1,4,7,4,24,92,62,0.0,1024,7,10,336,18,amersfoort
2023-05-02 09:00:00,10,4,0.0,12.8,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,1,5,8,5,23,94,62,0.0,1025,8,10,340,18,amersfoort
2023-05-02 10:00:00,10,4,0.0,12.8,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,1,5,8,5,21,96,61,0.0,1025,8,10,336,16,amersfoort
2023-05-02 11:00:00,10,4,0.0,12.8,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,1,5,8,5,19,100,60,0.0,1026,8,10,336,14,amersfoort
2023-05-02 12:00:00,10,4,0.0,12.8,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,1,6,8,6,18,97,59,0.0,1026,8,10,335,14,amersfoort
