,datum,prijs,prijsAIP,prijsANWB,prijsEE,prijsEVO,prijsEZ,prijsFR,prijsGSL,prijsMDE,prijsNE,prijsTI,prijsVDB,prijsVON,prijsZG,prijsZP,date
0,2023-04-12 00:00:00,0.095300,0.298011,0.288941,0.298621,0.288941,0.294628,0.293161,0.288941,0.288941,0.289852,0.289541,0.289638,0.287726,0.288941,0.270761,2023-04-12 00:00:00
1,2023-04-12 01:00:00,0.077200,0.27611,0.267040,0.276720,0.267040,0.270428,0.271260,0.267040,0.267040,0.267951,0.267640,0.267737,0.265825,0.267040,0.248860,2023-04-12 01:00:00
2,2023-04-12 02:00:00,0.059060,0.254161,0.245091,0.254771,0.245091,0.246228,0.249311,0.245091,0.245091,0.246001,0.245691,0.245788,0.243876,0.245091,0.226910,2023-04-12 02:00:00
3,2023-04-12 03:00:00,0.046320,0.238745,0.229676,0.239355,0.229676,0.234128,0.233895,0.229676,0.229676,0.230586,0.230275,0.230372,0.228460,0.229676,0.211495,2023-04-12 03:00:00
4,2023-04-12 04:00:00,0.045500,0.237753,0.228683,0.238363,0.228683,0.234128,0.232903,0.228683,0.228683,0.229594,0.229283,0.229380,0.227468,0.228683,0.210503,2023-04-12 04:00:00
5,2023-04-12 05:00:00,0.080290,0.279849,0.270779,0.280459,0.270779,0.270428,0.274999,0.270779,0.270779,0.271690,0.271379,0.271476,0.269564,0.270779,0.252599,2023-04-12 05:00:00
6,2023-04-12 06:00:00,0.106450,0.311502,0.302433,0.312112,0.302433,0.306728,0.306652,0.302433,0.302433,0.303343,0.303032,0.303129,0.301217,0.302433,0.284252,2023-04-12 06:00:00
7,2023-04-12 07:00:00,0.123350,0.331951,0.322882,0.332561,0.322882,0.318828,0.327101,0.322882,0.322882,0.323792,0.323481,0.323578,0.321666,0.322882,0.304701,2023-04-12 07:00:00
8,2023-04-12 08:00:00,0.136410,0.347754,0.338685,0.348364,0.338685,0.343028,0.342904,0.338685,0.338685,0.339595,0.339284,0.339381,0.337469,0.338685,0.320504,2023-04-12 08:00:00
9,2023-04-12 09:00:00,0.131990,0.342406,0.333336,0.343016,0.333336,0.330928,0.337556,0.333336,0.333336,0.334247,0.333936,0.334033,0.332121,0.333336,0.315156,2023-04-12 09:00:00
10,2023-04-12 10:00:00,0.120000,0.327898,0.318828,0.328508,0.318828,0.318828,0.323048,0.318828,0.318828,0.319739,0.319428,0.319525,0.317613,0.318828,0.300648,2023-04-12 10:00:00
