date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2023-05-21 00:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,10,11,13,11,23,47,84,0.0,1020,13,10,36,15,amersfoort
2023-05-21 01:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,10,11,12,11,23,100,85,0.0,1020,12,10,31,15,amersfoort
2023-05-21 02:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,10,11,12,11,23,100,85,0.0,1020,12,10,26,16,amersfoort
2023-05-21 03:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,10,10,12,10,24,90,87,0.0,1019,12,10,27,16,amersfoort
2023-05-21 04:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,10,10,12,10,23,92,89,0.0,1019,12,10,27,16,amersfoort
2023-05-21 05:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,10,10,12,10,25,75,90,0.0,1019,12,10,27,17,amersfoort
2023-05-21 06:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,11,10,12,10,25,79,90,0.0,1019,12,10,26,17,amersfoort
2023-05-21 07:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,11,11,13,11,22,89,90,0.0,1019,13,10,28,16,amersfoort
2023-05-21 08:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,11,12,13,12,23,83,87,0.0,1019,13,10,31,17,amersfoort
2023-05-21 09:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,12,14,15,14,22,94,83,0.0,1019,15,10,39,18,amersfoort
2023-05-21 10:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,13,17,17,17,22,100,78,0.0,1018,17,10,39,19,amersfoort
2023-05-21 11:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,14,18,18,18,21,97,75,0.0,1018,18,10,38,18,amersfoort
2023-05-21 12:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,14,20,20,20,21,100,71,0.0,1018,20,10,38,18,amersfoort
2023-05-21 13:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,15,21,21,21,20,100,69,0.0,1017,21,10,37,18,amersfoort
2023-05-21 14:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,15,21,21,21,20,94,70,0.0,1017,21,10,30,17,amersfoort
2023-05-21 15:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,16,20,20,20,21,92,77,0.0,1017,20,10,16,16,amersfoort
2023-05-21 16:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,16,19,19,19,21,96,82,0.2,1017,19,10,15,16,amersfoort
2023-05-21 17:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,16,19,19,19,22,39,85,0.0,1017,19,10,15,17,amersfoort
2023-05-21 18:00:00,21,12,0.0,12.8,5,6,06:11 AM,No moonset,05:36 AM,09:35 PM,17,20,20,20,21,89,84,0.1,1016,20,10,13,17,amersfoort
