date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2023-05-01 00:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,6,8,9,8,16,46,78,0.0,1021,9,10,119,8,netherlands
2023-05-01 01:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,5,8,9,8,16,46,80,0.0,1020,9,10,121,8,netherlands
2023-05-01 02:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,6,7,8,7,17,36,84,0.0,1020,8,10,122,8,netherlands
2023-05-01 03:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,6,6,8,6,17,31,86,0.0,1020,8,10,120,8,netherlands
2023-05-01 04:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,5,6,8,6,16,20,85,0.0,1019,8,10,114,8,netherlands
2023-05-01 05:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,5,6,8,6,16,22,84,0.0,1019,8,10,113,8,netherlands
2023-05-01 06:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,5,7,8,7,13,33,81,0.0,1019,8,10,111,6,netherlands
2023-05-01 07:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,6,10,10,10,8,32,75,0.0,1019,10,10,107,5,netherlands
2023-05-01 08:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,6,12,12,12,6,48,67,0.0,1019,12,10,108,4,netherlands
2023-05-01 09:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,7,15,14,15,4,32,60,0.0,1018,14,10,112,4,netherlands
2023-05-01 10:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,7,16,16,16,2,41,53,0.0,1018,16,10,308,2,netherlands
2023-05-01 11:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,6,16,16,16,10,51,51,0.0,1018,16,10,307,9,netherlands
2023-05-01 12:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,6,17,17,17,13,52,51,0.0,1018,17,10,309,11,netherlands
2023-05-01 13:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,7,17,17,17,14,34,52,0.0,1018,17,10,310,12,netherlands
2023-05-01 14:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,6,17,17,17,13,38,49,0.0,1018,17,10,304,11,netherlands
2023-05-01 15:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,6,17,17,17,14,79,49,0.0,1018,17,10,301,13,netherlands
2023-05-01 16:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,7,17,17,17,15,39,51,0.0,1018,17,10,300,13,netherlands
2023-05-01 17:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,7,16,16,16,17,52,53,0.0,1019,16,10,301,14,netherlands
2023-05-01 18:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,7,14,15,14,16,46,60,0.0,1019,15,10,305,13,netherlands
2023-05-01 19:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,8,12,13,12,15,72,70,0.0,1019,13,10,308,10,netherlands
2023-05-01 20:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,8,10,11,10,16,100,79,0.0,1020,11,10,304,10,netherlands
2023-05-01 21:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,9,11,12,11,13,79,84,0.0,1020,12,10,297,8,netherlands
2023-05-01 22:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,9,10,11,10,14,75,91,0.1,1021,11,10,305,9,netherlands
2023-05-01 23:00:00,17,8,0.0,14.0,4,75,04:05 PM,05:07 AM,06:10 AM,09:06 PM,9,8,9,8,15,39,96,0.0,1021,9,2,309,9,netherlands
2023-05-02 00:00:00,10,4,0.0,13.0,3,82,05:19 PM,05:18 AM,06:08 AM,09:08 PM,8,8,10,8,22,39,91,0.0,1018,10,10,297,13,netherlands
2023-05-02 01:00:00,10,4,0.0,13.0,3,82,05:19 PM,05:18 AM,06:08 AM,09:08 PM,8,6,9,6,26,58,91,0.0,1019,9,10,305,18,netherlands
2023-05-02 02:00:00,10,4,0.0,13.0,3,82,05:19 PM,05:18 AM,06:08 AM,09:08 PM,6,5,8,5,28,32,85,0.0,1019,8,10,304,21,netherlands
2023-05-02 03:00:00,10,4,0.0,13.0,3,82,05:19 PM,05:18 AM,06:08 AM,09:08 PM,5,5,8,5,30,100,82,0.0,1019,8,10,319,22,netherlands
2023-05-02 04:00:00,10,4,0.0,13.0,3,82,05:19 PM,05:18 AM,06:08 AM,09:08 PM,4,5,8,5,32,97,74,0.0,1020,8,10,334,23,netherlands
